Price,Close_NASDAQ,EMA200_NASDAQ,Upper_Buffer_NASDAQ,Lower_Buffer_NASDAQ,SMA200_NASDAQ,SMA40_NASDAQ,Close_GOLD,EMA200_GOLD,Upper_Buffer_GOLD,Lower_Buffer_GOLD,SMA200_GOLD,SMA40_GOLD
Ticker,^IXIC_NASDAQ,_NASDAQ,_NASDAQ,_NASDAQ,_NASDAQ,_NASDAQ,GC=F_GOLD,_GOLD,_GOLD,_GOLD,_GOLD,_GOLD
Date,,,,,,,,,,,,
2026-05-13,26402.34,22641.26,23320.5,21962.02,22904.06,23641.36,4702.4,4339.79,4469.98,4209.6,4306.1,4662.89
2026-05-12,26088.2,22603.46,23281.56,21925.35,22877.94,23543.29,4677.6,4336.15,4466.23,4206.06,4299.13,4670.35
2026-05-11,26274.13,22568.44,23245.49,21891.38,22853.04,23450.44,4718.7,4332.72,4462.7,4202.73,4292.42,4678.26
2026-05-08,26247.08,22531.19,23207.13,21855.26,22826.96,23346.22,4720.4,4328.84,4458.7,4198.97,4285.68,4686.61
2026-05-07,25806.2,22493.85,23168.66,21819.03,22800.83,23247.84,4699.8,4324.9,4454.65,4195.15,4279.05,4696.49
2026-05-06,25838.94,22460.56,23134.37,21786.74,22776.26,23170.59,4681.9,4321.13,4450.77,4191.5,4272.74,4708.18
2026-05-05,25326.13,22426.6,23099.4,21753.81,22751.94,23092.04,4555.8,4317.51,4447.03,4187.98,4266.34,4721.88
2026-05-04,25067.8,22397.46,23069.39,21725.54,22729.78,23026.29,4519.5,4315.11,4444.57,4185.66,4260.33,4735.27
2026-05-01,25114.44,22370.63,23041.74,21699.51,22708.87,22959.28,4629.9,4313.06,4442.45,4183.67,4254.43,4750.94
2026-04-30,24892.31,22343.05,23013.34,21672.76,22686.95,22900.15,4614.7,4309.87,4439.17,4180.58,4248.05,4761.82
2026-04-29,24673.24,22317.43,22986.95,21647.91,22665.88,22848.03,4545.2,4306.81,4436.01,4177.61,4241.62,4774.46
2026-04-28,24663.8,22293.75,22962.56,21624.94,22645.72,22794.11,4591.5,4304.41,4433.55,4175.28,4235.65,4788.51
2026-04-27,24887.1,22269.93,22938.03,21601.83,22625.32,22746.24,4675.4,4301.53,4430.57,4172.48,4229.47,4806.09
2026-04-24,24836.6,22243.63,22910.94,21576.32,22604.04,22690.77,4722.3,4297.77,4426.7,4168.84,4222.68,4819.96
