Price,Close,EMA200,Upper_Buffer,Lower_Buffer,SMA200,SMA40
Ticker,^IXIC,,,,,
Date,,,,,,
2020-11-24,12036.79,10380.13,10691.54,10068.73,10031.76,11553.32
2020-11-25,12094.4,10397.19,10709.11,10085.27,10043.6,11576.49
2020-11-27,12205.85,10415.19,10727.64,10102.73,10056.07,11598.48
2020-11-30,12198.74,10432.93,10745.92,10119.95,10068.41,11626.57
2020-12-01,12355.11,10452.06,10765.62,10138.5,10081.52,11652.14
2020-12-02,12349.37,10470.94,10785.07,10156.81,10094.18,11682.01
2020-12-03,12377.18,10489.91,10804.6,10175.21,10107.32,11707.32
2020-12-04,12464.23,10509.55,10824.84,10194.26,10121.75,11733.4
2020-12-07,12519.95,10529.55,10845.44,10213.67,10138.25,11756.9
2020-12-08,12582.77,10549.98,10866.48,10233.48,10156.33,11774.56
2020-12-09,12338.95,10567.79,10884.82,10250.75,10173.12,11786.44
2020-12-10,12405.81,10586.07,10903.66,10268.49,10192.32,11802.37
2020-12-11,12377.87,10603.9,10922.02,10285.79,10211.37,11818.97
2020-12-14,12440.04,10622.17,10940.84,10303.51,10228.81,11838.18
2020-12-15,12595.06,10641.8,10961.06,10322.55,10248.37,11866.08
2020-12-16,12658.19,10661.87,10981.72,10342.01,10266.57,11894.63
2020-12-17,12764.75,10682.79,11003.28,10362.31,10286.7,11926.63
2020-12-18,12755.64,10703.42,11024.52,10382.31,10307.6,11957.87
2020-12-21,12742.52,10723.71,11045.42,10402.0,10331.56,11987.73
2020-12-22,12807.92,10744.44,11066.78,10422.11,10353.88,12023.95
2020-12-23,12771.11,10764.61,11087.55,10441.67,10377.97,12057.44
2020-12-24,12804.73,10784.91,11108.46,10461.36,10405.99,12102.44
2020-12-28,12899.42,10805.95,11130.13,10481.77,10431.11,12145.29
2020-12-29,12850.22,10826.29,11151.08,10501.5,10460.84,12193.75
2020-12-30,12870.0,10846.63,11172.03,10521.23,10488.51,12241.56
2020-12-31,12888.28,10866.94,11192.95,10540.93,10518.0,12284.75
2021-01-04,12698.45,10885.17,11211.72,10558.61,10545.74,12312.45
