Date,Code,Name,Open,High,Low,Close,Volume,Amount,Daily_Return_Pct,EMA20,EMA50,EMA200,SMA200,Bollinger_Mid,Bollinger_Upper,Bollinger_Lower,MACD,MACD_Signal,MACD_Histogram,ROC20_Pct,RSI14,Volatility20_Pct,High252,Distance_EMA200_Pct,Distance_High252_Pct,Drawdown_Pct,Robust_Log_Trend,Robust_Log_Lower,Robust_Log_Upper,Robust_Log_Deviation_Pct,Robust_Log_Percentile,Amount_Ratio20,Money_Flow_Ratio_Pct,Estimated_Net_Flow,Estimated_Inflow,Estimated_Outflow,Estimated_Net_Flow_5,Money_Flow_Ratio_5_Pct,Estimated_Net_Flow_20,Money_Flow_Ratio_20_Pct,Flow_Confidence_Pct
2023-07-13,931743,半导体材料设备,3480.4100,3529.9200,3477.9500,3520.7700,603980397.0000,15735000000.0000,,3520.7700,3520.7700,3520.7700,,,,,0.0000,0.0000,0.0000,,,,,0.0000,,0.0000,2282.6128,1820.6537,3247.8319,54.2430,95.6349,,64.7874,10194293823.3596,12964646911.6798,2770353088.3202,,,,,
2023-07-14,931743,半导体材料设备,3533.4900,3558.8600,3512.6800,3529.8900,962730980.0000,18401000000.0000,0.2590,3521.6386,3521.1276,3520.8607,,,,,0.7275,0.1455,0.5820,,,,,0.2565,,0.0000,2284.7105,1822.3268,3250.8166,54.5005,95.7672,,-25.4656,-4685919445.6475,6857540277.1762,11543459722.8238,,,,,
2023-07-17,931743,半导体材料设备,3526.4100,3527.3700,3449.6000,3470.3100,783943371.0000,16124000000.0000,-1.6879,3516.7501,3519.1348,3520.3578,,,,,-3.4636,-0.5763,-2.8873,,,,,-1.4217,,-1.6879,2291.0150,1827.3555,3259.7871,51.4748,94.3122,,-46.7404,-7536420213.4499,4293789893.2750,11830210106.7249,,,,,
2023-07-18,931743,半导体材料设备,3473.3700,3520.8600,3463.1900,3465.9500,703240707.0000,16456000000.0000,-0.1256,3511.9120,3517.0491,3519.8164,,,,,-7.0556,-1.8722,-5.1834,,,,,-1.5304,,-1.8114,2293.1204,1829.0348,3262.7828,51.1456,94.0476,,-90.4283,-14880880873.9381,787559563.0310,15668440436.9690,,,,,
2023-07-19,931743,半导体材料设备,3450.1000,3475.7700,3402.5300,3416.9600,536439769.0000,15133000000.0000,-1.4135,3502.8690,3513.1241,3518.7929,,,,,-13.6974,-4.2372,-9.4602,,,,,-2.8940,,-3.1992,2295.2278,1830.7156,3265.7812,48.8724,93.2540,,-60.5953,-9169887220.0984,2981556389.9508,12151443610.0492,-26078813929.7742,-31.8621,,,
2023-07-20,931743,半导体材料设备,3424.7600,3429.8500,3375.5800,3379.0600,515459646.0000,11972000000.0000,-1.1092,3491.0776,3507.8666,3517.4026,,,,,-21.7684,-7.7435,-14.0250,,,,,-3.9331,,-4.2729,2297.3370,1832.3980,3268.7824,47.0860,92.8571,,-87.1752,-10436619126.5893,767690436.7054,11204309563.2946,-46709726879.7231,-59.8183,,,
2023-07-21,931743,半导体材料设备,3368.3700,3377.6400,3329.0600,3339.1100,654177807.0000,12743000000.0000,-1.1823,3476.6045,3501.2487,3515.6285,,,,,-31.0307,-12.4009,-18.6298,,,,,-5.0210,,-5.4047,2299.4482,1834.0819,3271.7863,45.2135,91.9312,,-58.6249,-7470577192.2601,2636211403.8700,10106788596.1300,-49494384626.3357,-68.3360,,,
2023-07-24,931743,半导体材料设备,3332.5300,3355.6500,3314.5500,3319.4800,431720160.0000,10385000000.0000,-0.5879,3461.6403,3494.1205,3513.6768,,,,,-39.4997,-17.8207,-21.6791,,,,,-5.5269,,-5.9608,2305.7935,1839.1430,3280.8147,43.9626,91.0053,,-76.0097,-7893610705.5962,1245694647.2019,9139305352.7981,-49851575118.4820,-74.7523,,,
2023-07-25,931743,半导体材料设备,3353.8700,3374.1700,3332.2100,3371.0500,582538753.0000,13228000000.0000,1.5536,3453.0126,3489.2943,3512.2576,,,,,-41.5710,-22.5707,-19.0003,,,,,-4.0204,,-4.4999,2307.9124,1840.8331,3283.8297,46.0649,92.4603,,85.1287,11260823641.5635,12244411820.7817,983588179.2183,-23709870602.9804,-37.3613,,,
2023-07-26,931743,半导体材料设备,3364.4300,3412.7700,3355.4000,3382.4900,548623003.0000,12774000000.0000,0.3394,3446.2962,3485.1059,3510.9664,,,,,-41.8075,-26.4181,-15.3894,,,,,-3.6593,,-4.1758,2310.0334,1842.5248,3286.8475,46.4260,92.5926,,-5.5604,-710285166.4634,6031857416.7683,6742142583.2317,-15250268549.3455,-24.9587,,,
2023-07-27,931743,半导体材料设备,3374.2600,3377.2300,3314.4500,3322.3200,479606378.0000,11610000000.0000,-1.7789,3434.4889,3478.7221,3509.0893,,,,,-46.3162,-30.3977,-15.9185,,,,,-5.3224,,-5.8804,2312.1562,1844.2181,3289.8680,43.6893,90.8730,,-74.9283,-8699178082.1917,1455410958.9042,10154589041.0958,-13512827504.9479,-22.2470,,,
2023-07-28,931743,半导体材料设备,3317.1400,3361.8300,3312.1100,3340.5300,534642549.0000,11396000000.0000,0.5481,3425.5405,3473.3028,3507.4121,,,,,-47.8683,-33.8918,-13.9764,,,,,-4.7580,,-5.3645,2314.2811,1845.9129,3292.8913,44.3442,91.4021,,14.3202,1631929203.5399,6513964601.7700,4882035398.2300,-4410321109.1479,-7.4257,,,
2023-07-31,931743,半导体材料设备,3338.1400,3394.3400,3331.5600,3379.5800,559218480.0000,14778000000.0000,1.1690,3421.1633,3469.6274,3506.1401,,,,,-45.4236,-36.1982,-9.2254,,,,,-3.6097,,-4.2582,2320.6672,1851.0066,3301.9780,45.6297,92.1958,,52.9787,7829185727.9388,11303592863.9694,3474407136.0306,11312475324.3870,17.7350,,,
2023-08-01,931743,半导体材料设备,3384.8100,3391.7600,3357.2400,3370.7500,474533268.0000,12906000000.0000,-0.2613,3416.3620,3465.7498,3504.7930,,,,,-43.6950,-37.6976,-5.9975,,,,,-3.8246,,-4.5084,2322.7999,1852.7076,3305.0124,45.1158,91.7989,,-21.7265,-2804026651.2167,5050986674.3917,7855013325.6083,-2752374968.3931,-4.3369,,,
2023-08-02,931743,半导体材料设备,3362.8200,3416.4800,3362.5600,3391.9500,432597786.0000,11883000000.0000,0.6289,3414.0371,3462.8557,3503.6702,,,,,-40.1516,-38.1884,-1.9632,,50.5100,,,-3.1887,,-3.9078,2324.9345,1854.4102,3308.0497,45.8944,92.3280,,9.0134,1071056750.7418,6477028375.3709,5405971624.6291,-971033051.1879,-1.5518,,,
2023-08-03,931743,半导体材料设备,3376.1100,3414.2400,3371.6500,3387.1300,355576276.0000,10222000000.0000,-0.1421,3411.4745,3459.8861,3502.5106,,,,,-37.3024,-38.0112,0.7088,,49.6913,,,-3.2942,,-4.0443,2327.0711,1856.1144,3311.0897,45.5534,92.0635,,-27.3069,-2791309227.5181,3715345386.2409,6506654613.7591,4936835803.4856,8.0687,,,
2023-08-04,931743,半导体材料设备,3392.7200,3410.1400,3350.5300,3370.3400,504169827.0000,12769000000.0000,-0.4957,3407.5569,3456.3745,3501.1954,,,,,-35.9843,-37.6058,1.6215,,46.8429,,,-3.7374,,-4.5200,2329.2096,1857.8201,3314.1325,44.6989,91.6667,,-33.5346,-4282038416.3731,4243480791.8135,8525519208.1865,-977131816.4273,-1.5620,,,
2023-08-07,931743,半导体材料设备,3366.2100,3384.6800,3360.9900,3369.9000,402743589.0000,9977000000.0000,-0.0131,3403.9705,3452.9833,3499.8890,,,,,-34.5767,-37.0000,2.4233,,46.7673,,,-3.7141,,-4.5324,2335.6370,1862.9467,3323.2777,44.2818,91.2698,,-24.7784,-2472139721.4012,3752430139.2994,6224569860.7006,-11278457265.7673,-19.5274,,,
2023-08-08,931743,半导体材料设备,3364.4000,3382.6500,3351.5700,3354.3600,414284916.0000,8653000000.0000,-0.4611,3399.2457,3449.1157,3498.4410,,,,,-34.3195,-36.4639,2.1444,,44.0606,,,-4.1184,,-4.9727,2337.7834,1864.6587,3326.3318,43.4846,90.7407,,-82.0463,-7099469111.9691,776765444.0154,7876234555.9846,-15573899726.5198,-29.1079,,,
2023-08-09,931743,半导体材料设备,3341.5300,3345.8800,3314.4600,3324.4700,415975997.0000,8511000000.0000,-0.8911,3392.1242,3444.2277,3496.7099,,3390.3200,3509.9736,3270.6664,-36.1112,-36.3933,0.2821,,39.3440,,,-4.9258,,-5.8194,2339.9317,1866.3723,3329.3886,42.0755,89.8148,0.6658,-36.2826,-3088014003.8194,2711492998.0903,5799507001.9097,-19732970481.0809,-39.3620,-62033086011.3885,-24.2643,66.5817
2023-08-10,931743,半导体材料设备,3326.2600,3372.9300,3325.1300,3349.8800,350388715.0000,9249000000.0000,0.7643,3388.1010,3440.5278,3495.2489,,3381.7755,3486.4110,3277.1400,-35.0765,-36.1300,1.0535,-4.8538,44.7579,14.7439,,-4.1590,,-5.0996,2342.0821,1868.0875,3332.4482,43.0300,90.2116,0.7424,3.5565,328939330.5440,4788969665.2720,4460030334.7280,-16612721923.0188,-33.7939,-71898440504.2041,-28.8552,74.2385
2023-08-11,931743,半导体材料设备,3354.0200,3355.9900,3274.6300,3274.6300,483347812.0000,10796000000.0000,-2.2463,3377.2942,3434.0220,3493.0537,,3369.0125,3459.5965,3278.4285,-39.8689,-36.8778,-2.9911,-7.2314,34.8403,16.2178,,-6.2531,,-7.2314,2344.2344,1869.8042,3335.5107,39.6887,89.2857,0.8938,-100.0000,-10796000000.0000,0.0000,10796000000.0000,-23126683506.6457,-49.0117,-78008521058.5566,-32.2930,89.3838
2023-08-14,931743,半导体材料设备,3242.4500,3257.8900,3217.0700,3254.6400,449112289.0000,9076000000.0000,-0.6105,3365.6129,3426.9874,3490.6814,,3358.2290,3449.3569,3267.1011,-44.7639,-38.4550,-6.3090,-6.2147,32.7634,15.4909,,-6.7620,,-7.7977,2350.7032,1874.9638,3344.7149,38.4539,88.8889,0.7740,84.0764,7630777070.0637,8353388535.0318,722611464.9682,-13023766715.1808,-28.1382,-62841323775.0430,-26.7961,77.4016
2023-08-15,931743,半导体材料设备,3260.5900,3268.0000,3158.6500,3193.4900,439376371.0000,11880000000.0000,-1.8789,3349.2202,3417.8306,3487.7243,,3344.6060,3447.8968,3241.3152,-52.9670,-41.3574,-11.6096,-7.8610,27.3854,16.4273,,-8.4363,,-9.5300,2352.8635,1876.6869,3347.7886,35.7278,87.6984,1.0333,-36.2780,-4309827160.4939,3785086419.7531,8094913580.2469,-10234124763.7056,-20.6700,-52270270061.5988,-22.7320,100.0000
2023-08-16,931743,半导体材料设备,3185.1200,3207.8900,3135.0900,3135.0900,349896338.0000,9542000000.0000,-1.8287,3328.8269,3406.7428,3484.2155,,3330.5125,3463.2033,3197.8217,-63.4490,-45.7757,-17.6733,-8.2491,23.4299,16.8272,,-10.0202,,-11.1845,2355.0257,1878.4115,3350.8652,33.1234,86.3757,0.8506,-100.0000,-9542000000.0000,0.0000,9542000000.0000,-16688110759.8862,-33.0176,-52642382841.5005,-23.4644,85.0635
2023-08-17,931743,半导体材料设备,3126.6100,3164.7600,3112.6900,3157.6600,361916925.0000,9264000000.0000,0.7199,3312.5252,3396.9748,3480.9662,,3319.4425,3469.8449,3169.0401,-69.1379,-50.4482,-18.6897,-6.5521,27.7719,17.0901,,-9.2878,,-10.5451,2357.1899,1880.1377,3353.9445,33.9587,86.6402,0.8359,72.7290,6737616285.7690,8000808142.8845,1263191857.1155,-10279433804.6612,-20.3320,-35468147429.1422,-16.0024,83.5943
2023-08-18,931743,半导体材料设备,3177.5400,3182.7200,3117.5000,3117.5000,376198103.0000,9304000000.0000,-1.2718,3293.9514,3386.0150,3477.3496,,3308.3620,3482.1681,3134.5559,-76.0107,-55.5607,-20.4501,-6.6368,25.0499,17.1520,,-10.3484,,-11.6828,2359.3561,1881.8656,3357.0267,32.1335,86.1111,0.8528,-100.0000,-9304000000.0000,0.0000,9304000000.0000,-8787433804.6612,-17.9094,-37301570236.8821,-17.0949,85.2784
2023-08-21,931743,半导体材料设备,3116.5100,3139.2700,3088.5400,3088.5400,304258585.0000,7647000000.0000,-0.9289,3274.3884,3374.3493,3473.4808,,3296.8150,3495.0948,3098.5352,-82.8394,-61.0164,-21.8230,-6.9571,23.2781,17.2605,,-11.0823,,-12.5032,2365.8667,1887.0585,3366.2903,30.5458,84.7884,0.7098,-100.0000,-7647000000.0000,0.0000,7647000000.0000,-24065210874.7249,-50.5179,-37054959531.2859,-17.1977,70.9814
2023-08-22,931743,半导体材料设备,3106.8000,3120.0300,3028.3900,3114.1300,503721050.0000,11195000000.0000,0.8285,3259.1257,3364.1446,3469.9052,,3283.9690,3494.2721,3073.6659,-85.2041,-65.8540,-19.3502,-7.6214,28.1165,16.3664,,-10.2532,,-11.7783,2368.0409,1888.7927,3369.3839,31.5066,85.4497,1.0490,87.1235,9753478830.2051,10474239415.1026,720760584.8974,-10001904884.0258,-21.3024,-38562304342.6442,-18.0677,100.0000
2023-08-23,931743,半导体材料设备,3106.5900,3106.8600,3016.6100,3016.8500,409832682.0000,8657000000.0000,-3.1238,3236.0518,3350.5252,3465.3972,,3265.6870,3500.6757,3030.6983,-93.8460,-71.4524,-22.3937,-10.8098,22.3470,18.7597,,-12.9436,,-14.5342,2370.2171,1890.5284,3372.4803,27.2816,81.0847,0.8272,-99.4681,-8610957229.9169,23021385.0415,8633978614.9585,-9070862113.9428,-19.6906,-46462976406.0978,-22.1976,82.7174
2023-08-24,931743,半导体材料设备,3032.7700,3108.5100,3013.8200,3061.0300,429119548.0000,10697000000.0000,1.4644,3219.3831,3339.1725,3461.3737,,3252.6225,3502.1669,3003.0781,-96.0230,-76.3665,-19.6565,-7.8647,29.4295,19.4916,,-11.5660,,-13.2826,2372.3952,1892.2658,3375.5795,29.0270,83.3333,1.0266,-0.2851,-30501531.3127,5333249234.3436,5363750765.6564,-15838979931.0245,-33.3452,-37794299855.2188,-18.1353,100.0000
2023-08-25,931743,半导体材料设备,3043.4200,3049.8300,2986.0800,3002.0800,371317701.0000,9006000000.0000,-1.9258,3198.6876,3325.9532,3456.8036,,3235.7000,3504.2809,2967.1191,-101.3368,-81.3606,-19.9763,-10.1316,26.0194,19.8675,,-13.1545,,-14.9526,2374.5754,1894.0047,3378.6816,26.4260,80.6878,0.8743,-49.8039,-4485341176.4706,2260329411.7647,6745670588.2353,-11020321107.4951,-23.3471,-43911570235.2293,-21.3151,87.4318
2023-08-28,931743,半导体材料设备,3187.5700,3196.4000,2986.2600,2995.6700,603864987.0000,14767000000.0000,-0.2135,3179.3526,3313.0009,3452.2152,,3216.5045,3495.8688,2937.1402,-104.8566,-86.0598,-18.7969,-11.3597,25.6710,18.8858,,-13.2247,,-15.1342,2381.1280,1899.2312,3388.0050,25.8089,80.2910,1.4337,-91.0441,-13444477205.6724,661261397.1638,14105738602.8362,-16817798313.1675,-30.9595,-65185233168.8405,-31.6432,100.0000
2023-08-29,931743,半导体材料设备,2988.0900,3141.1100,2988.0400,3134.0800,647897137.0000,16189000000.0000,4.6203,3175.0409,3305.9844,3449.0496,,3204.6710,3476.8560,2932.4860,-95.3781,-87.9234,-7.4547,-7.0213,43.3168,26.4586,,-9.1321,,-11.2131,2383.3162,1900.9765,3391.1185,31.5008,85.3175,1.5471,90.8147,14701985300.8427,15445492650.4214,743507349.5786,-11869291842.5299,-20.0103,-47679221216.7811,-22.7821,100.0000
2023-08-30,931743,半导体材料设备,3185.7400,3275.7100,3177.2000,3225.7900,794638154.0000,21362000000.0000,2.9262,3179.8741,3302.8395,3446.8282,,3196.3630,3454.9807,2937.7453,-79.5491,-86.2486,6.6995,-4.8987,51.5280,28.7441,,-6.4128,,-8.6150,2385.5064,1902.7235,3394.2348,35.2245,87.3016,1.9530,-1.3501,-288411937.8743,10536794031.0628,10825205968.9372,-3546746550.4873,-4.9246,-49038689905.3972,-22.4164,100.0000
2023-08-31,931743,半导体材料设备,3220.2700,3306.2300,3199.6100,3291.2500,710200778.0000,20270000000.0000,2.0293,3190.4814,3302.3850,3445.2801,,3191.5690,3439.1846,2943.9534,-61.0190,-81.2027,20.1837,-2.8307,56.3846,29.8497,,-4.4708,,-6.7606,2387.6986,1904.4720,3397.3540,37.8419,88.7566,1.7718,71.9002,14574171825.1735,17422085912.5868,2847914087.4132,11057926805.9989,13.5524,-31673208852.7056,-13.8425,100.0000
2023-09-01,931743,半导体材料设备,3304.6900,3358.6900,3264.0300,3283.2500,439279349.0000,15478000000.0000,-0.2431,3199.3165,3301.6346,3443.6679,,3187.2145,3424.9684,2949.4606,-46.4439,-74.2509,27.8070,-2.5840,55.6507,29.8217,,-4.6583,,-6.9872,2389.8929,1906.2222,3400.4761,37.3806,88.3598,1.3371,-59.3915,-9192617367.4203,3142691316.2899,12335308683.7101,6350650615.0492,7.2112,-36583787803.7528,-15.8016,100.0000
2023-09-04,931743,半导体材料设备,3295.5000,3301.7800,3241.2600,3292.9200,608911841.0000,17010000000.0000,0.2945,3208.2311,3301.2929,3442.1679,,3183.3655,3411.4611,2955.2699,-33.7240,-66.1455,32.4215,-2.2843,56.3896,29.8555,,-4.3359,,-6.7132,2396.4877,1911.4824,3409.8596,37.4061,88.4921,1.4261,70.7204,12029543952.4124,14519771976.2062,2490228023.7938,31824671773.1340,35.2398,-22082104129.9392,-9.2567,100.0000
2023-09-05,931743,半导体材料设备,3297.5500,3344.8200,3290.9800,3301.4100,673242715.0000,20528000000.0000,0.2578,3217.1053,3301.2975,3440.7673,,3180.7180,3401.9388,2959.4972,-22.6967,-57.4558,34.7590,-1.5785,57.0659,29.8489,,-4.0502,,-6.4727,2398.6900,1913.2390,3412.9932,37.6339,88.6243,1.6394,-61.2556,-12574543833.5811,3976728083.2094,16551271916.7906,4548142638.7101,4.8053,-27557178851.5512,-11.0040,100.0000
2023-09-06,931743,半导体材料设备,3287.0400,3424.2800,3283.4100,3420.5600,939407104.0000,27248000000.0000,3.6091,3236.4819,3305.9744,3440.5663,,3185.5225,3422.6263,2948.4187,-4.2936,-46.8233,42.5297,2.8904,65.2182,32.3613,,-0.5815,,-3.0973,2400.8944,1914.9972,3416.1297,42.4702,90.0794,2.0246,94.7185,25808906367.5728,26528453183.7864,719546816.2136,30645460944.1573,30.4827,1339741519.8410,0.4977,100.0000
2023-09-07,931743,半导体材料设备,3387.9300,3388.5100,3267.9400,3268.5300,768676650.0000,23125000000.0000,-4.4446,3239.5341,3304.5060,3438.8545,,3181.4550,3409.7692,2953.1408,-1.9540,-37.8495,35.8954,-2.4284,51.7230,36.1376,,-4.9529,,-7.4042,2403.1007,1916.7570,3419.2690,36.0130,87.8307,1.6340,-99.0213,-22898679190.5117,113160404.7442,23011839595.2558,-6827390071.5279,-6.6036,-21887877001.2147,-7.7331,100.0000
2023-09-08,931743,半导体材料设备,3254.3400,3330.1500,3254.1200,3294.3500,581227473.0000,17189000000.0000,0.7900,3244.7547,3304.1078,3437.4166,,3182.4410,3412.5198,2952.3622,1.9610,-29.8874,31.8484,0.6022,53.4834,35.3423,,-4.1620,,-6.6727,2405.3091,1918.5185,3422.4113,36.9616,88.2275,1.1878,5.8266,1001542417.4667,9095271208.7334,8093728791.2666,3366769713.3591,3.2034,-10090334583.7480,-3.4862,100.0000
2023-09-11,931743,半导体材料设备,3284.5500,3327.4900,3257.5900,3293.9700,625362153.0000,16825000000.0000,-0.0115,3249.4418,3303.7102,3435.9893,,3184.4075,3417.5726,2951.2424,4.9756,-22.9148,27.8904,1.2084,53.4525,35.2569,,-4.1333,,-6.6835,2411.9465,1923.8126,3431.8553,36.5689,88.0952,1.1323,4.0916,688404864.0915,8756702432.0457,8068297567.9543,-7974369374.9617,-7.6008,-17032706789.7202,-5.7314,100.0000
2023-09-12,931743,半导体材料设备,3281.3500,3288.7500,3258.1000,3263.5100,514397668.0000,11605000000.0000,-0.9247,3250.7817,3302.1337,3434.2731,,3187.9085,3423.6030,2952.2140,4.8509,-17.3616,22.2126,2.1926,50.9138,34.7110,,-4.9723,,-7.5464,2414.1630,1925.5805,3435.0091,35.1818,87.1693,0.7817,-64.6982,-7508226753.6703,2048386623.1649,9556613376.8351,-2908052295.0509,-3.0295,-20231106382.8965,-6.8139,78.1724
2023-09-13,931743,半导体材料设备,3250.6900,3287.5000,3206.4300,3237.1700,535002600.0000,12710000000.0000,-0.8071,3249.4853,3299.5861,3432.3118,,3193.0125,3428.3316,2957.6934,2.5968,-13.3700,15.9667,3.2560,48.7573,34.1305,,-5.6854,,-8.2926,2416.3816,1927.3501,3438.1658,33.9677,86.7725,0.8471,-24.1643,-3071282841.9884,4819358579.0058,7890641420.9942,-31788241504.6120,-39.0260,-13760389224.8849,-4.5856,84.7119
2023-09-14,931743,半导体材料设备,3228.4500,3236.0000,3168.2300,3181.8800,428475876.0000,11360000000.0000,-1.7080,3243.0467,3294.9702,3429.8200,,3194.2235,3429.0512,2959.3958,-3.6095,-11.4179,7.8084,0.7670,44.4967,34.7064,,-7.2290,,-9.8589,2418.6022,1929.1213,3441.3254,31.5586,85.5820,0.7519,-59.7167,-6783815847.7202,2288092076.1399,9071907923.8601,-15673378161.8206,-22.4905,-27281821358.3741,-9.0286,75.1890
